name,category,revenue_30d,biz_model,gtm_model,source_url,revenue_band
Gumroad,E-commerce,7100000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$1M+
Stan,Content Creation,3100000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/content-creation,$1M+
easytools,E-commerce,2700000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$1M+
"Brand On Demand, Inc. / Supliful",E-commerce,1100000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/ecommerce,$1M+
Hidden Business SaaS Platform,SaaS,993000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$500k–$1M
Stack Influence,Marketing,709000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$500k–$1M
Comp AI,AI,472000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$100k–$500k
"Avenue Ticketing, Inc.",Entertainment,380000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/entertainment,$100k–$500k
Rezi,AI,274000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$100k–$500k
1Capture,SaaS,273000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/saas,$100k–$500k
Kibu,Education,269000,Content / education / media,Creator / content / audience-led,https://trustmrr.com/category/education,$100k–$500k
HypeProxies,Security,264000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/security,$100k–$500k
Kitze,Productivity,223000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/productivity,$100k–$500k
Cometly,Analytics,216000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/analytics,$100k–$500k
Medical Practice & Medical Consulting Agency,Health & Fitness,203000,Consumer app / subscription,App-store / paid social / consumer,https://trustmrr.com/category/health-fitness,$100k–$500k
PressWhizz,Marketplace,189000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$100k–$500k
Shugert Marketing,Marketing,175000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$100k–$500k
GojiberryAI,Marketing,153000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$100k–$500k
Defined Chase,Marketing,144000,Services / agency / lead-gen,Sales-led / outbound / SEO,https://trustmrr.com/category/marketing,$100k–$500k
Claw Mart,OpenClaw (special),119000,Software / SaaS,PLG / inbound software,https://trustmrr.com/special-category/openclaw,$100k–$500k
PROSP,AI,98000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$50k–$100k
AEO Engine,AI,94000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$50k–$100k
SEOBOT,AI,93000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$50k–$100k
AI startup,AI,89000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$50k–$100k
Vid.AI,AI,89000,Software / SaaS,PLG / inbound software,https://trustmrr.com/category/ai,$50k–$100k
MaidsnBlack,Marketplace,86000,Commerce / marketplace / transactions,Marketplace / SEO / performance,https://trustmrr.com/category/marketplace,$50k–$100k
